2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 437928 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 5632 bytes
